,init_node,term_node,capacity,length,free_flow_time,b,power,speed,toll,link_type,from,to,volume,cost
387,388,390,3500,12.0468,11.09,0.15,4,0,0,2,388,390,1511.699999999997,11.629763270402824
388,388,391,3500,6.35718,5.98,0.15,4,0,0,2,388,391,1959.4300000001167,6.322400055927646
389,388,708,2000,1.81366,2.9,0.15,4,0,0,1,388,708,218.11000000000055,2.972607927828145
390,388,802,2000,4.42618,4.78,0.15,4,0,0,1,388,802,274.86000000007334,4.957302967490084
391,389,390,1000,4.70056,4.34,0.15,4,0,0,2,389,390,199.21000000008644,4.529047639972865
392,389,801,2500,7.50969,9.58,0.15,4,0,0,1,389,801,125.52999999999884,9.880396734543508
393,389,914,2500,3.3019,3.96,0.15,4,0,0,1,389,914,269.4400000000024,4.092156144678223
394,390,388,3500,12.0468,11.09,0.15,4,0,0,2,390,388,1446.2100000000864,11.620364666828936
395,390,389,1000,4.70056,4.34,0.15,4,0,0,2,390,389,131.6999999999971,4.528218250231133
396,390,925,3500,7.06021,6.93,0.15,4,0,0,2,390,925,1413.0,7.240021868646368
397,391,388,3500,6.35718,5.98,0.15,4,0,0,2,391,388,1609.0000000000728,6.274350289942189
398,391,392,3500,4.5587,4.22,0.15,4,0,0,2,391,392,2914.310000000267,4.706628778473335
399,391,709,3000,1.26933,0.53,0.15,4,0,0,1,391,709,627.0800000001254,0.5809249657975273
400,391,715,3000,4.71637,6.36,0.15,4,0,0,1,391,715,511.6000000001368,6.549461636429916
401,392,391,3500,4.5587,4.22,0.15,4,0,0,2,392,391,1903.7200000001396,4.457752344712344
402,392,393,3500,2.70059,2.55,0.15,4,0,0,2,392,393,4023.007750636403,3.3256949473439663
403,392,713,1000,1.675,1.05,0.15,4,0,0,1,392,713,1161.3287397128806,1.403484581409997
404,392,717,1000,1.60466,2.98,0.15,4,0,0,1,392,717,662.7000000001353,3.1303999256163086
405,393,392,3500,2.70059,2.55,0.15,4,0,0,2,393,392,2868.8800000003903,2.8306903814055664
406,393,394,5000,3.1116,3.42,0.15,4,0,0,2,393,394,5386.728259010044,4.2355587882020265
407,393,712,3500,2.70953,2.62,0.15,4,0,0,1,393,712,2396.075037583804,2.8147033068737346
408,393,716,3500,0.61304,1.87,0.15,4,0,0,1,393,716,3038.2418922293728,2.0537975040117247
409,394,393,5000,3.1116,3.42,0.15,4,0,0,2,394,393,3286.565877307905,3.640228978457726
410,394,395,5000,2.25782,2.42,0.15,4,0,0,2,394,395,4806.197275286613,2.8202209369824622
411,394,584,500,4.77245,4.97,0.15,4,0,0,1,394,584,558.9587031418632,6.325255971860368
412,394,601,500,0.56239,1.75,0.15,4,0,0,1,394,601,666.9804593012159,2.6036883227959717
413,395,394,5000,2.25782,2.42,0.15,4,0,0,2,395,394,2710.4500000003463,2.5416595274978637
414,395,396,5000,3.35722,3.65,0.15,4,0,0,2,395,396,5624.922509838652,4.661229611030825
415,395,584,3500,3.87386,3.88,0.15,4,0,0,1,395,584,1068.0175195617994,4.040000598319171
416,395,600,3500,0.82969,1.36,0.15,4,0,0,1,395,600,2179.059540698807,1.4238378752064529
417,396,395,5000,3.35722,3.65,0.15,4,0,0,2,396,395,2514.3400000003603,3.819299445998138
418,396,397,5000,1.95295,2.11,0.15,4,0,0,2,396,397,5624.922509838652,2.695061866102751
419,397,396,5000,1.95295,2.11,0.15,4,0,0,2,397,396,2514.3400000003603,2.2083570309742657
420,397,398,5000,2.17728,2.36,0.15,4,0,0,2,397,398,7113.880254617805,3.8976971251060912
421,397,588,3000,2.501,3.02,0.15,4,0,0,1,397,588,1774.1200000002063,3.175444514088823
422,397,604,3000,1.10476,1.28,0.15,4,0,0,1,397,604,3836.053301746892,1.837470872405312
423,398,397,5000,2.17728,2.36,0.15,4,0,0,2,398,397,4863.603301747448,2.764015706804333
424,398,399,5000,0.62803,0.72,0.15,4,0,0,2,398,399,7003.439929386397,1.1608301453198524
425,398,400,6500,1.95581,2.11,0.15,4,0,0,2,398,400,3372.9435179756256,2.211181019366716
426,398,403,8000,2.806,3.06,0.15,4,0,0,2,398,403,7319.326147520421,3.493855622286216
427,399,398,5000,0.62803,0.72,0.15,4,0,0,2,399,398,4331.782354503338,0.8059641481425144
428,399,537,5000,3.93438,4.28,0.15,4,0,0,2,399,537,6229.823657912035,5.98461641425182
