,Trip ID,Taxi ID,Trip Start Timestamp,Trip End Timestamp,Trip Seconds,Trip Miles,Pickup Census Tract,Dropoff Census Tract,Pickup Community Area,Dropoff Community Area,Fare,Tips,Tolls,Extras,Trip Total,Payment Type,Company,Pickup Centroid Latitude,Pickup Centroid Longitude,Pickup Centroid Location,Dropoff Centroid Latitude,Dropoff Centroid Longitude,Dropoff Centroid  Location,Pickup_x,Pickup_y,Dropoff_x,Dropoff_y,start_edge,end_edge,id,depart,vClass,departLane,type,departSpeed
3,3e4087b9c6aa4c8fde67006a015dd25a41467c6c,01480513a7f6f4664d6cc4c41ff3043ae6ecbc8cb17404f45de6db711747adf72cf309207bcde58413778d568f67a548640421aedac9a6f961b6919b6e662e8f,01/01/2019 08:45:00 PM,01/01/2019 08:45:00 PM,300,0.0,17031320100.0,17031081201.0,32.0,8.0,5.75,0.0,0.0,0.0,5.75,Cash,Blue Ribbon Taxi Association Inc.,41.884987192,-87.620992913,POINT (-87.6209929134 41.8849871918),41.899155613,-87.626210532,POINT (-87.6262105324 41.8991556134),13112.436993356852,10020.725180737674,12691.026809468807,11596.955147879198,583081972,1040118849#0,taxi_0,0.0,,best,veh_passenger,None
4,2d0bb399485e07bd7fed6aa4a19deb426f24f6f3,100dbc840e5381b47a92bfbdbc3f231bc18b28af8cba22938131f76ff91fcacbd0273a793d6eb66bb4aa97412e14fb4484c5684b105ec8a91e83d5c62214c75f,01/02/2019 08:30:00 AM,01/02/2019 08:30:00 AM,540,1.2,17031081600.0,17031280100.0,8.0,28.0,7.5,0.0,0.0,0.0,7.5,Cash,24 Seven Taxi,41.892072635,-87.628874157,POINT (-87.6288741572 41.8920726347),41.885300022,-87.642808466,POINT (-87.6428084655 41.8853000224),12464.318153216795,10812.165493657812,11302.723054060945,10068.785636899062,965387812#7,145857394#0,taxi_1,5.754841186120954,,best,veh_passenger,None
7,1cc632dd348fcd9ae2b10db17b10723c9cc64c93,053e2981d702d762acc06cc5d3076f16fa3e2ad28270ac815664b1b180d6f294b83d7bdaa63e6a540afa0becb2b55a948b5ff6bc524e7d0a21e3a15d0190b848,01/03/2019 04:30:00 PM,01/03/2019 04:30:00 PM,337,0.99,17031081401.0,17031081800.0,8.0,8.0,5.75,0.0,0.0,1.0,6.75,Cash,Flash Cab,41.89503345,-87.619710672,POINT (-87.6197106717 41.8950334495),41.89321636,-87.63784421,POINT (-87.6378442095 41.8932163595),13226.876501449384,11135.36641502101,11721.124692709534,10944.643321189098,461207921#0,23891801#0,taxi_2,5.979937983124956,,best,veh_passenger,None
11,b7feccc5630fbdad764d1372cd385b1b5b50a732,a418af5d440c9260ccfd29882c6c4ea78d7269df7d5130f03788205b60d6801babc8e1b0fccd2645c96de8d08dacd7d64b199c0899c0727236e3bb3a34b597fb,01/04/2019 04:30:00 PM,01/04/2019 04:45:00 PM,480,1.0,17031839100.0,17031081500.0,32.0,8.0,6.5,2.0,0.0,0.0,9.0,Credit Card,Medallion Leasin,41.880994471,-87.632746489,POINT (-87.6327464887 41.8809944707),41.892507781,-87.626214906,POINT (-87.6262149064 41.8925077809),12134.00798140082,9584.547444195487,12685.276812698052,10858.865207103081,134319745#0,56720835#3,taxi_3,8.455201848447029,,best,veh_passenger,None
14,63feadf057d3ae9a2ad9cd95767165e31a4e0ca8,f7c942487c3ce86530856b5920cd4f28b0cff930a8bf7e7bf25e15d066f245d784bbedcf5a541ee0e5103226f9576b9fb6d684d5959f7a622a13d1f70012768b,01/05/2019 05:00:00 PM,01/05/2019 05:00:00 PM,720,2.4,17031081300.0,17031839100.0,8.0,32.0,10.0,2.0,0.0,1.0,13.5,Credit Card,Globe Taxi,41.898331794,-87.620762865,POINT (-87.6207628651 41.8983317935),41.880994471,-87.632746489,POINT (-87.6327464887 41.8809944707),13142.24239234865,11502.204498006962,12134.00798140082,9584.547444195487,-316912742,134319745#0,taxi_4,10.464098491786434,,best,veh_passenger,None
19,48fc9c6c16a311e81aa9a906e20ed9cdc08b8664,4364d99b1f14eb6e63596a20a1a936c805239d09b4675e8165d9d0ab91ea565990be35225384dfb78f1bc75c4fd0ba36620ddf840f64f0403df3d2cc55c1258b,01/06/2019 08:00:00 PM,01/06/2019 08:00:00 PM,735,2.26,17031320100.0,17031080100.0,32.0,8.0,9.75,2.0,0.0,1.0,13.25,Credit Card,Sun Taxi,41.884987192,-87.620992913,POINT (-87.6209929134 41.8849871918),41.907520075,-87.6266589,POINT (-87.6266589003 41.90752007470001),13112.436993356852,10020.725180737674,12660.619306057866,12525.91376172565,583081972,24098485#0,taxi_5,17.092339419262544,,best,veh_passenger,None
20,d2e156fed73289b53c4cc9bbc2a9d4b65a01906d,e8f673c7d74913eef9b2c58975502e30884a6d7c93a80264c9ef1ee7a3a44652b66f8f74348e5f7b62dc458b19ef474b8c0801463178f03b03bd08f768c42c4e,01/07/2019 09:00:00 AM,01/07/2019 09:15:00 AM,861,0.9,17031281900.0,17031081800.0,28.0,8.0,7.75,2.0,0.0,0.0,10.25,Credit Card,Taxi Affiliation Service Yellow,41.879255084,-87.642648998,POINT (-87.642648998 41.8792550844),41.89321636,-87.63784421,POINT (-87.6378442095 41.8932163595),11310.927751319367,9397.533141246997,11721.124692709534,10944.643321189098,116846056#0,23891801#0,taxi_6,23.182634806068744,,best,veh_passenger,None
22,5bd4f57ebe344f6fb0a386d25759190ed6251ebe,a551c616b29b9db9ca3476a247202023f30a40c4dc115a7db0a0f2104d3ce4ad4fbc2dd487bc9f8dc796c1cdcb21d826dcc7f4383eecbd2926d84acee83233b7,01/07/2019 06:15:00 PM,01/07/2019 06:30:00 PM,540,0.0,17031281900.0,17031320400.0,28.0,32.0,7.0,0.0,0.0,0.0,7.0,Cash,Taxi Affiliation Services,41.879255084,-87.642648998,POINT (-87.642648998 41.8792550844),41.877406123,-87.621971652,POINT (-87.6219716519 41.8774061234),11310.927751319367,9397.533141246997,13025.133774957969,9179.60784426704,1031291396#1,33116710#0,taxi_7,31.212250915412355,,best,veh_passenger,None
24,9bcb0439566b84a097ae216ab89c70eb0a1717d0,539585f311dc81a3a3476b17430e422b842975c40e12dd64b0219275b2b68f788418395ca85db96d79f785dea79613a684cae01f9164c8007fa4c4b7a69a197e,01/07/2019 07:30:00 PM,01/07/2019 07:45:00 PM,681,1.93,17031839100.0,17031081201.0,32.0,8.0,8.75,0.0,0.0,0.0,8.75,Cash,Chicago Carriage Cab Corp,41.880994471,-87.632746489,POINT (-87.6327464887 41.8809944707),41.899155613,-87.626210532,POINT (-87.6262105324 41.8991556134),12134.00798140082,9584.547444195487,12691.026809468807,11596.955147879198,134319745#0,1040118849#0,taxi_8,31.9947004090771,,best,veh_passenger,None
30,73eeee94fa2f1485fa15252bcc53ad448c5f5bb7,2d0ed8e0ce18189d284bd2aadfb788b99d07edd8da90bc5a26bec2fc4f5bbac24f4843b5655df04dc51029c5183499035b5b60c5899dde7422a766a5854c0ec5,01/09/2019 06:00:00 PM,01/09/2019 06:15:00 PM,300,0.8,17031839100.0,17031081800.0,32.0,8.0,5.75,3.0,0.0,0.0,8.75,Credit Card,Star North Management LLC,41.880994471,-87.632746489,POINT (-87.6327464887 41.8809944707),41.89321636,-87.63784421,POINT (-87.6378442095 41.8932163595),12134.00798140082,9584.547444195487,11721.124692709534,10944.643321189098,134319745#0,23891801#0,taxi_9,35.79199678624453,,best,veh_passenger,None
34,0b2c9fdd244aeaa7bd248ab8590306f1fbfffc30,842c6b006fcddcc1eb059c64c6129ed5edd0971d8943943075301b1845f3acafa4d74c84ac1a114a3c5e1534f081126e0012aaa85350643e7b5bdb97bbada08d,01/10/2019 12:30:00 PM,01/10/2019 12:45:00 PM,616,1.2,17031839100.0,17031320100.0,32.0,32.0,7.5,3.0,0.0,1.0,12.0,Credit Card,Chicago Taxicab,41.880994471,-87.632746489,POINT (-87.6327464887 41.8809944707),41.884987192,-87.620992913,POINT (-87.6209929134 41.8849871918),12134.00798140082,9584.547444195487,13112.436993356852,10020.725180737674,134319745#0,633946076,taxi_10,36.06017176118716,,best,veh_passenger,None
37,edf305ddb68a1b3bb4423b5f59e101b93c3441a4,be7e1462a37397809dadade8e174ef3ccbc3073294df4a0c1786610d3fbbc2cd18543a46938764af03553b89897d23ee9f88307fd485162626822cd306c2fed5,01/10/2019 05:15:00 PM,01/10/2019 05:15:00 PM,533,1.1,17031320100.0,17031320400.0,32.0,32.0,7.25,0.0,0.0,0.0,7.25,Cash,Chicago Carriage Cab Corp,41.884987192,-87.620992913,POINT (-87.6209929134 41.8849871918),41.877406123,-87.621971652,POINT (-87.6219716519 41.8774061234),13112.436993356852,10020.725180737674,13025.133774957969,9179.60784426704,633946076,33116710#0,taxi_11,38.027913534419596,,best,veh_passenger,None
38,46867113c788d5082558e9776449e6092532d10b,4f1e94982e6851725add382f7981d64006ae7c38f3664f6575ef12ab44c1c6af6e02524b142e95c1d10974f66b6a2eda0d332643b01607e2ca3ff2a7241f6dee,01/10/2019 06:30:00 PM,01/10/2019 07:00:00 PM,978,3.3,17031839100.0,17031070101.0,32.0,7.0,12.5,2.6,0.0,0.0,15.6,Credit Card,City Service,41.880994471,-87.632746489,POINT (-87.6327464887 41.8809944707),41.92926299,-87.635890954,POINT (-87.6358909539 41.9292629902),12134.00798140082,9584.547444195487,11912.831322411483,14945.621564830653,134319745#0,-373857680#1,taxi_12,42.57611112734986,,best,veh_passenger,None
39,a09c32e3f0094e4730016517eb304f542489e4ff,3506f62ee1c70c02fe00b742679684b319d5b712182f828f14b081888056485c3bd5911f60c194bcf0fb5986bb4f04b7d169ab0fd22cb63f0906af16d431395b,01/10/2019 10:45:00 PM,01/10/2019 11:00:00 PM,240,0.0,17031320100.0,17031081300.0,32.0,8.0,5.75,1.0,0.0,1.0,7.75,Credit Card,Taxi Affiliation Services,41.884987192,-87.620992913,POINT (-87.6209929134 41.8849871918),41.898331794,-87.620762865,POINT (-87.6207628651 41.8983317935),13112.436993356852,10020.725180737674,13142.24239234865,11502.204498006962,583081972,-316912742,taxi_13,42.814934854504635,,best,veh_passenger,None
